script_id,imdb_id,title,year,gross,lines_data
1534,tt1022603,(500) Days of Summer,2009,37,7.4354E+254
1512,tt0147800,10 Things I Hate About You,1999,65,1.7778E+254
1514,tt0417385,12 and Holding,2005,,5.4614E+205
1517,tt2024544,12 Years a Slave,2013,60,4.5673E+108
1520,tt1542344,127 Hours,2010,20,4.53513E+29
6537,tt0450385,1408,2007,91,3.76778E+43
3778,tt0103594,1492: Conquest of Paradise,1992,15,6.67778E+81
623,tt0179626,15 Minutes,2001,37,7.7778E+127
1525,tt0974661,17 Again,2009,74,7.6677E+210
6030,tt1272878,2 Guns,2013,80,3.6766E+136
625,tt0062622,2001: A Space Odyssey,1968,376,7.77773E+52
1509,tt1190080,2012,2009,192,7.7776E+209
8543,tt0478087,21,2008,98,6.67778E+89
7834,tt2294449,22 Jump Street,2014,204,7.7668E+141
630,tt0307901,25th Hour,2002,19,7.7778E+102
3784,tt0191754,28 Days,2000,59,1.14003E+19
6360,tt0289043,28 Days Later...,2002,67,7.77757E+76
7597,tt0463854,28 Weeks Later,2007,36,5.34456E+55
8209,tt2172934,3 Days to Kill,2014,32,4.6457E+133
1408,tt0094137,3 Men and a Baby,1987,373,7.7778E+107
7678,tt0075612,3 Women,1977,,2.00003E+16
8671,tt0389722,30 Days of Night,2007,50,7.77634E+82
1530,tt1622547,30 Minutes or Less,2011,40,7.7778E+125
7770,tt0416449,300,2006,280,7.77756E+79
3789,tt0381849,3:10 to Yuma,2007,67,5.45778E+90
1502,tt0453562,42,2013,101,7.7778E+123
1532,tt0083511,48 Hrs.,1982,224,7.7344E+254
3770,tt1306980,50/50,2011,38,3.4778E+127
1537,tt0134273,8MM,1999,62,5.4464E+194
5820,tt0268978,A Beautiful Mind,2001,262,7.77778E+83
6574,tt0120633,A Civil Action,1998,105,5.54578E+29
4022,tt0066921,A Clockwork Orange,1971,,7.74478E+65
2190,tt0097243,A Dry White Season,1989,8,7.46568E+92
1538,tt0104257,A Few Good Men,1992,295,4.3675E+254
8880,tt0401445,A Good Year,2006,9,7.75665E+78
8007,tt0399146,A History of Violence,2005,42,7.75425E+98
7931,tt0266465,A Man Apart,2003,37,7.66524E+74
5368,tt2937898,A Most Violent Year,2014,6,4.7778E+147
8057,tt1972571,A Most Wanted Man,2014,18,6.0545E+102
5342,tt0120770,A Night at the Roxbury,1998,56,7.7668E+156
1196,tt0087800,A Nightmare on Elm Street,1984,68,2.14412E+80
6161,tt0089686,A Nightmare on Elm Street 2: Freddy's Revenge,1985,73,5.37765E+39
4706,tt0093629,A Nightmare on Elm Street 3: Dream Warriors,1987,99,1.4555E+101
4702,tt0095742,A Nightmare on Elm Street 4: The Dream Master,1988,104,4.3254E+59
4703,tt0097981,A Nightmare on Elm Street 5: The Dream Child,1989,48,2.21023E+81
7251,tt0971209,A Perfect Getaway,2009,17,4.55577E+75
1222,tt0107808,A Perfect World,1993,65,3.7368E+114
4892,tt0091867,A Room with a View,1985,51,1.2342E+83
6822,tt0405296,A Scanner Darkly,2006,7,7.7778E+110
633,tt1019452,A Serious Man,2009,10,1.45677E+87
4961,tt0120324,A Simple Plan,1998,30,6.77778E+77
4963,tt1315981,A Single Man,2009,10,6.77775E+72
1455,tt0281358,A Walk to Remember,2002,61,5.7652E+101
8682,tt0212720,A.I. Artificial Intelligence,2001,120,4.65443E+78
6034,tt1826590,About Last Night,2014,51,7.6342E+160
642,tt0094602,Above the Law,1988,40,7.77766E+65
1545,tt0118548,Absolute Power,1997,94,5.5436E+139
1550,tt0109040,Ace Ventura: Pet Detective,1994,150,7.74677E+81
6407,tt0268126,Adaptation.,2002,33,5.4346E+112
3805,tt1091722,Adventureland,2009,18,5.5774E+139
1559,tt0118564,Affliction,1997,11,4.4354E+198
1564,tt0088683,Agnes of God,1985,,4.3E+254
647,tt0118571,Air Force One,1997,327,7.7578E+102
650,tt0083530,Airplane II: The Sequel,1982,,7.74778E+91
648,tt0080339,Airplane!,1980,269,4.45475E+73
1571,tt0103639,Aladdin,1992,454,7.7777E+157
8683,tt0375173,Alfie,2004,18,7.77765E+60
653,tt0248667,Ali,2001,89,7.7778E+99
3816,tt1014759,Alice in Wonderland,2010,368,1.1E+81
1576,tt0078748,Alien,1979,6,6.5773E+115
652,tt0094631,Alien Nation,1988,53,7.77778E+52
3818,tt0118583,Alien: Resurrection,1997,90,7.7668E+100
1597,tt0090605,Aliens,1986,199,2.2323E+177
7235,tt0758730,Aliens vs. Predator: Requiem,2007,52,7.77751E+63
1582,tt0103644,Alien³,1992,116,7.56534E+98
1603,tt0881891,All About Steve,2009,39,3.11048E+95
3824,tt0847214,All God's Children Can Dance,2008,,3.24234E+66
6157,tt0490076,All the Boys Love Mandy Lane,2006,,4.45413E+53
7583,tt0074119,All the President's Men,1976,,7.77778E+91
8230,tt0149624,All the Pretty Horses,2000,25,5.7778E+107
1606,tt0181875,Almost Famous,2000,52,1.0002E+254
1609,tt0369226,Alone in the Dark,2005,6,6.77666E+91
664,tt0086879,Amadeus,1984,,7.7777E+173
1613,tt1129445,Amelia,2009,16,4.6534E+209
5803,tt0211915,Amélie,2001,51,3.11103E+56
1615,tt0169547,American Beauty,1999,222,5.6528E+210
665,tt0765429,American Gangster,2007,164,7.7778E+103
7955,tt0080365,American Gigolo,1980,,4.45434E+93
666,tt0069704,American Graffiti,1973,565,7.7765E+140
5805,tt0120586,American History X,1998,12,6.6678E+102
1628,tt1800241,American Hustle,2013,160,6.3665E+167
1631,tt0022626,American Madness,1932,,6.7778E+232
1634,tt0244000,American Outlaws,2001,20,7.7778E+132
1635,tt0163651,American Pie,1999,174,6.5548E+249
1639,tt0144084,American Psycho,2000,24,7.7767E+238
3834,tt0101327,American Shaolin,1991,,7.77778E+78
7413,tt2179136,American Sniper,2014,372,7.77748E+57
1643,tt0305206,American Splendor,2003,8,3.2778E+149
7716,tt3316948,American Ultra,2015,14,5.35454E+98
5373,tt1602620,Amour,2012,,4.44467E+58
3807,tt0050105,An Affair to Remember,1957,,7.53543E+66
674,tt0082010,An American Werewolf in London,1981,,7.7778E+110
3838,tt0118604,An American Werewolf in Paris,1997,50,7.77543E+77
