"Movie","Year","Gender","Revenue"
"Toy Story",1995,"Male",0.373554033
"Heat",1995,"Male",0.187436818
"GoldenEye",1995,"Male",0.352194034
"The American President",1995,"Male",0.107879496
"Nixon",1995,"Male",0.013681765
"Casino",1995,"Male",0.116112375
"Sense and Sensibility",1995,"Female",0.135
"Four Rooms",1995,"Male",0.0043
"Get Shorty",1995,"Male",0.115101622
"Copycat",1995,"Female",0
"Assassins",1995,"Male",0.030303072
"Leaving Las Vegas",1995,"Male",0.0498
"Now and Then",1995,"Female",0.0274
"Twelve Monkeys",1995,"Male",0.16884
"Clueless",1995,"Female",0
"Se7en",1995,"Male",0.327311859
"Pocahontas",1995,"Male",0.346079773
"The Usual Suspects",1995,"Male",0.023341568
"From Dusk Till Dawn",1996,"Male",0.025836616
"Kicking and Screaming",1995,"Male",0.00071849
"Bed of Roses",1996,"Female",0.019030691
"White Squall",1996,"Male",0.0103
"Nick of Time",1995,"Male",0.008175346
"Broken Arrow",1996,"Male",0.150270147
"City Hall",1996,"Male",0
"Bottle Rocket",1996,"Male",0.000560069
"The Bridges of Madison County",1995,"Female",0.182016617
"Braveheart",1995,"Male",0.21
"Up Close & Personal",1996,"Female",0
"Bad Boys",1995,"Male",0.141407024
"Batman Forever",1995,"Male",0.336529144
"Crimson Tide",1995,"Male",0.157387195
"Devil in a Blue Dress",1995,"Male",0.016140822
"Die Hard: With a Vengeance",1995,"Male",0.366101666
"Hackers",1995,"Male",0.007563728
"Judge Dredd",1995,"Male",0.113493481
"Kids",1995,"Male",0.007412216
"Living in Oblivion",1995,"Male",0.001148752
"Lord of Illusions",1995,"Male",0
"Mallrats",1995,"Male",0.002122561
"Mighty Morphin Power Rangers: The Movie",1995,"Male",0.066
"Mute Witness",1995,"Male",1e-09
"The Prophecy",1995,"Male",1.6e-08
"Showgirls",1995,"Female",0.020350754
"Smoke",1995,"Male",0.00834943
"Strange Days",1995,"Male",0.007959291
"Waterworld",1995,"Male",0.26421822
"Wild Bill",1995,"Male",0
"Before Sunrise",1995,"Female",0.005535405
"Boys on the Side",1995,"Female",0.02345
"Clerks",1994,"Male",0.00315113
"Dolores Claiborne",1995,"Female",0
"Ed Wood",1994,"Male",0.005887457
"Heavenly Creatures",1994,"Female",0.003049135
"Kiss of Death",1995,"Male",0
"Mary Shelley's Frankenstein",1994,"Male",0.112006296
"Natural Born Killers",1994,"Male",0.050282766
"Only You",1994,"Female",0
"Outbreak",1995,"Male",0.18985956
"Pulp Fiction",1994,"Male",0.213928762
"Panther",1995,"Male",0.006834525
"Quiz Show",1994,"Male",0
"The Shawshank Redemption",1994,"Male",0.028341469
"Shallow Grave",1994,"Male",0
"Star Trek: Generations",1994,"Male",0.12
"Village of the Damned",1995,"Female",0
"Virtuosity",1995,"Male",0.024048
"Ace Ventura: Pet Detective",1994,"Male",0.107217396
"The Adventures of Priscilla, Queen of the Desert",1994,"Male",0.01122067
"Bullets Over Broadway",1994,"Male",0
"Clear and Present Danger",1994,"Male",0.215887717
"The Client",1994,"Female",0.117615211
"The Crow",1994,"Male",0.094
"Cobb",1994,"Male",0.001007583
"The Flintstones",1994,"Male",0.341631208
"Forrest Gump",1994,"Male",0.677945399
"The Lion King",1994,"Male",0.788241776
"New Nightmare",1994,"Female",0.018090181
"The Mask",1994,"Male",0.351583407
"Maverick",1994,"Male",0
"Red Rock West",1993,"Male",0.002
"True Lies",1994,"Male",0.378882411
"In the Mouth of Madness",1994,"Male",0.0089466
"Being Human",1994,"Male",0
"Boxing Helena",1993,"Male",0.001796389
"Carlito's Way",1993,"Male",0.036516012
"Cliffhanger",1993,"Male",0.255000211
"Color of Night",1994,"Male",0.01972605
"Dave",1993,"Male",0.063
"Dazed and Confused",1993,"Male",0.007993039
"Demolition Man",1993,"Male",0.159055768
"Even Cowgirls Get the Blues",1993,"Female",0
"Fatal Instinct",1993,"Male",0
"The Fugitive",1993,"Male",0.36887576
"The Hudsucker Proxy",1994,"Male",0
"I'll Do Anything",1994,"Male",0
"In the Line of Fire",1993,"Male",0.176997168
"Jurassic Park",1993,"Male",0.9201
"Kalifornia",1993,"Male",0.002395231
"Killing Zoe",1993,"Male",0.000418961
"Last Action Hero",1993,"Male",0.137298489
"Malice",1993,"Male",0.046405336
"Manhattan Murder Mystery",1993,"Male",0.011285588
"Executive Decision",1996,"Male",0.121969216
"A Perfect World",1993,"Male",0.135130999
"Philadelphia",1993,"Male",0.20667844
"The Piano",1993,"Male",0.1167
"The Program",1993,"Male",0.0230422
"The Ref",1994,"Male",0.011439193
"Schindler's List",1993,"Male",0.321365567
"Searching for Bobby Fischer",1993,"Male",0.007266383
"Serial Mom",1994,"Female",0.007820688
"Six Degrees of Separation",1993,"Male",0
"Sleepless in Seattle",1993,"Female",0.227799884
"Blade Runner",1982,"Male",0.033139618
"So I Married an Axe Murderer",1993,"Male",0.011585483
"The Nightmare Before Christmas",1993,"Male",0.075634409
"The Three Musketeers",1993,"Male",0.053898845
"Tombstone",1993,"Male",0.056505065
"True Romance",1993,"Male",0.012281551
"Home Alone",1990,"Male",0.476684675
"Ghost",1990,"Male",0.505
"Aladdin",1992,"Male",0.504050219
"Terminator 2: Judgment Day",1991,"Male",0.52
"Dances with Wolves",1990,"Male",0.424208848
"Batman",1989,"Male",0.411348924
"The Silence of the Lambs",1991,"Male",0.272742922
