"Movie","Year","IMDB","Gender","Words","Revenue"
"Toy Story",1995,7.7,"Male",5681,373554033
"Toy Story",1995,7.7,"Female",-523,373554033
"Heat",1995,7.7,"Male",4020,187436818
"Heat",1995,7.7,"Female",-1098,187436818
"GoldenEye",1995,6.6,"Male",2103,352194034
"GoldenEye",1995,6.6,"Female",-899,352194034
"The American President",1995,6.5,"Male",23202,107879496
"The American President",1995,6.5,"Female",-12002,107879496
"Nixon",1995,7.1,"Male",23865,13681765
"Nixon",1995,7.1,"Female",-2122,13681765
"Casino",1995,7.8,"Male",57944,116112375
"Casino",1995,7.8,"Female",-9734,116112375
"Sense and Sensibility",1995,7.2,"Male",9614,1.35e+08
"Sense and Sensibility",1995,7.2,"Female",-23922,1.35e+08
"Four Rooms",1995,6.5,"Male",16108,4300000
"Four Rooms",1995,6.5,"Female",-10102,4300000
"Get Shorty",1995,6.4,"Male",18656,115101622
"Get Shorty",1995,6.4,"Female",-3092,115101622
"Copycat",1995,6.5,"Male",9936,0
"Copycat",1995,6.5,"Female",-16078,0
"Assassins",1995,6,"Male",12478,30303072
"Assassins",1995,6,"Female",-4380,30303072
"Leaving Las Vegas",1995,7.1,"Male",9062,49800000
"Leaving Las Vegas",1995,7.1,"Female",-7272,49800000
"Now and Then",1995,6.6,"Male",0,27400000
"Now and Then",1995,6.6,"Female",-4186,27400000
"Twelve Monkeys",1995,7.4,"Male",7478,168840000
"Twelve Monkeys",1995,7.4,"Female",-3534,168840000
"Clueless",1995,6.9,"Male",5146,0
"Clueless",1995,6.9,"Female",-5226,0
"Se7en",1995,8.1,"Male",19074,327311859
"Se7en",1995,8.1,"Female",-1562,327311859
"Pocahontas",1995,6.7,"Male",4036,346079773
"Pocahontas",1995,6.7,"Female",-2108,346079773
"The Usual Suspects",1995,8.1,"Male",11428,23341568
"The Usual Suspects",1995,8.1,"Female",-325,23341568
"From Dusk Till Dawn",1996,6.9,"Male",18216,25836616
"From Dusk Till Dawn",1996,6.9,"Female",-2016,25836616
"Kicking and Screaming",1995,7,"Male",3671,718490
"Kicking and Screaming",1995,7,"Female",-1345,718490
"Bed of Roses",1996,5.1,"Male",2586,19030691
"Bed of Roses",1996,5.1,"Female",-3999,19030691
"White Squall",1996,6.3,"Male",8971,10300000
"White Squall",1996,6.3,"Female",-173,10300000
"Nick of Time",1995,6.1,"Male",11482,8175346
"Nick of Time",1995,6.1,"Female",-4076,8175346
"Broken Arrow",1996,5.7,"Male",6948,150270147
"Broken Arrow",1996,5.7,"Female",-1412,150270147
"City Hall",1996,6,"Male",9923,0
"City Hall",1996,6,"Female",-1831,0
"Bottle Rocket",1996,6.8,"Male",19414,560069
"Bottle Rocket",1996,6.8,"Female",0,560069
"The Bridges of Madison County",1995,7.3,"Male",2631,182016617
"The Bridges of Madison County",1995,7.3,"Female",-3763,182016617
"Braveheart",1995,7.7,"Male",4873,2.1e+08
"Braveheart",1995,7.7,"Female",-1024,2.1e+08
"Up Close & Personal",1996,5.9,"Male",939,0
"Up Close & Personal",1996,5.9,"Female",-2402,0
"Bad Boys",1995,6.5,"Male",8772,141407024
"Bad Boys",1995,6.5,"Female",-3133,141407024
"Batman Forever",1995,5.2,"Male",9956,336529144
"Batman Forever",1995,5.2,"Female",-2082,336529144
"Crimson Tide",1995,7,"Male",8519,157387195
"Crimson Tide",1995,7,"Female",0,157387195
"Devil in a Blue Dress",1995,6.3,"Male",18466,16140822
"Devil in a Blue Dress",1995,6.3,"Female",-2660,16140822
"Die Hard: With a Vengeance",1995,6.9,"Male",6627,366101666
"Die Hard: With a Vengeance",1995,6.9,"Female",0,366101666
"Hackers",1995,6.2,"Male",10390,7563728
"Hackers",1995,6.2,"Female",-2180,7563728
"Judge Dredd",1995,5.4,"Male",8136,113493481
"Judge Dredd",1995,5.4,"Female",-3262,113493481
"Kids",1995,6.8,"Male",8156,7412216
"Kids",1995,6.8,"Female",-3916,7412216
"Living in Oblivion",1995,7.2,"Male",14172,1148752
"Living in Oblivion",1995,7.2,"Female",-7582,1148752
"Lord of Illusions",1995,5.9,"Male",9926,0
"Lord of Illusions",1995,5.9,"Female",-1950,0
"Mallrats",1995,6.8,"Male",4793,2122561
"Mallrats",1995,6.8,"Female",-677,2122561
"Mighty Morphin Power Rangers: The Movie",1995,5.2,"Male",3713,6.6e+07
"Mighty Morphin Power Rangers: The Movie",1995,5.2,"Female",-1569,6.6e+07
"Mute Witness",1995,6.4,"Male",2471,1
"Mute Witness",1995,6.4,"Female",-1160,1
"The Prophecy",1995,6.4,"Male",6462,16
"The Prophecy",1995,6.4,"Female",-2036,16
"Showgirls",1995,4.9,"Male",4054,20350754
"Showgirls",1995,4.9,"Female",-7027,20350754
"Smoke",1995,7.2,"Male",13273,8349430
"Smoke",1995,7.2,"Female",-1997,8349430
"Strange Days",1995,6.8,"Male",15016,7959291
"Strange Days",1995,6.8,"Female",-6314,7959291
"Waterworld",1995,5.9,"Male",2731,264218220
"Waterworld",1995,5.9,"Female",-1968,264218220
"Wild Bill",1995,5.9,"Male",4257,0
"Wild Bill",1995,5.9,"Female",-461,0
"Before Sunrise",1995,7.7,"Male",5467,5535405
"Before Sunrise",1995,7.7,"Female",-5957,5535405
"Boys on the Side",1995,6.3,"Male",1425,23450000
"Boys on the Side",1995,6.3,"Female",-7548,23450000
"Clerks",1994,7.4,"Male",24428,3151130
"Clerks",1994,7.4,"Female",-6956,3151130
"Dolores Claiborne",1995,7.1,"Male",2380,0
"Dolores Claiborne",1995,7.1,"Female",-5794,0
"Ed Wood",1994,7.3,"Male",12591,5887457
"Ed Wood",1994,7.3,"Female",-1926,5887457
"Heavenly Creatures",1994,6.9,"Male",970,3049135
"Heavenly Creatures",1994,6.9,"Female",-11060,3049135
"Kiss of Death",1995,5.7,"Male",5252,0
"Kiss of Death",1995,5.7,"Female",-1019,0
"Mary Shelley's Frankenstein",1994,6.1,"Male",5167,112006296
"Mary Shelley's Frankenstein",1994,6.1,"Female",-1333,112006296
"Natural Born Killers",1994,6.9,"Male",10975,50282766
"Natural Born Killers",1994,6.9,"Female",-1177,50282766
"Only You",1994,6.4,"Male",3662,0
"Only You",1994,6.4,"Female",-7969,0
"Outbreak",1995,6.4,"Male",6292,189859560
"Outbreak",1995,6.4,"Female",-980,189859560
"Pulp Fiction",1994,8.3,"Male",6749,213928762
"Pulp Fiction",1994,8.3,"Female",-2094,213928762
"Panther",1995,6.4,"Male",9442,6834525
"Panther",1995,6.4,"Female",-351,6834525
"Quiz Show",1994,7.1,"Male",12142,0
"Quiz Show",1994,7.1,"Female",-951,0
"The Shawshank Redemption",1994,8.5,"Male",13414,28341469
"The Shawshank Redemption",1994,8.5,"Female",0,28341469
"Shallow Grave",1994,7,"Male",9128,0
"Shallow Grave",1994,7,"Female",-2012,0
"Star Trek: Generations",1994,6.4,"Male",7477,1.2e+08
"Star Trek: Generations",1994,6.4,"Female",-1689,1.2e+08
"Village of the Damned",1995,5.6,"Male",2571,0
"Village of the Damned",1995,5.6,"Female",-3166,0
"Virtuosity",1995,5.4,"Male",4590,24048000
"Virtuosity",1995,5.4,"Female",-1933,24048000
"Ace Ventura: Pet Detective",1994,6.4,"Male",7942,107217396
"Ace Ventura: Pet Detective",1994,6.4,"Female",-2785,107217396
"The Adventures of Priscilla, Queen of the Desert",1994,7.2,"Male",3210,11220670
"The Adventures of Priscilla, Queen of the Desert",1994,7.2,"Female",-681,11220670
"Bullets Over Broadway",1994,7,"Male",3635,0
"Bullets Over Broadway",1994,7,"Female",-1683,0
